User_Questions,Bot_Response
Can I open a fixed deposit with my spouse?,Yes — Fixed Deposits can be held jointly. Each holder will need to supply the usual identification and meet Anti-Money Laundering requirements.
Are joint fixed deposits allowed?,Yes — Fixed Deposits can be held jointly. Each holder will need to supply the usual identification and meet Anti-Money Laundering requirements.
Can two people hold a deposit together?,Yes — Fixed Deposits can be held jointly. Each holder will need to supply the usual identification and meet Anti-Money Laundering requirements.
Can I borrow against my fixed deposit?,"Yes — a Fixed Deposit can generally be used as security for borrowing, which lets you keep the investment intact. Ask about it when you apply."
Is my deposit usable as security?,"Yes — a Fixed Deposit can generally be used as security for borrowing, which lets you keep the investment intact. Ask about it when you apply."
Can I keep my investment and still borrow?,"Yes — a Fixed Deposit can generally be used as security for borrowing, which lets you keep the investment intact. Ask about it when you apply."
Loan secured by a fixed deposit?,"Yes — a Fixed Deposit can generally be used as security for borrowing, which lets you keep the investment intact. Ask about it when you apply."
Can I have a fixed deposit and a savings account?,Yes — you can hold a Fixed Deposit alongside your regular accounts. Many customers keep savings accessible and lock a separate sum away for a better return.
Do I need to choose between saving and investing?,Yes — you can hold a Fixed Deposit alongside your regular accounts. Many customers keep savings accessible and lock a separate sum away for a better return.
Can I hold multiple products?,Yes — you can hold a Fixed Deposit alongside your regular accounts. Many customers keep savings accessible and lock a separate sum away for a better return.
Is it possible to have both?,Yes — you can hold a Fixed Deposit alongside your regular accounts. Many customers keep savings accessible and lock a separate sum away for a better return.
What happens when my fixed deposit matures?,"You can arrange for a Fixed Deposit to roll over at maturity or to be paid out. Let us know your preference when you set it up, or before it matures."
Does my deposit roll over automatically?,"You can arrange for a Fixed Deposit to roll over at maturity or to be paid out. Let us know your preference when you set it up, or before it matures."
Can I reinvest at maturity?,"You can arrange for a Fixed Deposit to roll over at maturity or to be paid out. Let us know your preference when you set it up, or before it matures."
How do I get my money back at maturity?,"You can arrange for a Fixed Deposit to roll over at maturity or to be paid out. Let us know your preference when you set it up, or before it matures."
What can a business loan be used for?,"A business loan can fund an expansion or renovation, new or modernised equipment, refinancing of existing debt, or the acquisition of another business. Repayment is structured around the useful life of what you're financing."
Can I finance new equipment?,"A business loan can fund an expansion or renovation, new or modernised equipment, refinancing of existing debt, or the acquisition of another business. Repayment is structured around the useful life of what you're financing."
Can I borrow to buy premises?,"A business loan can fund an expansion or renovation, new or modernised equipment, refinancing of existing debt, or the acquisition of another business. Repayment is structured around the useful life of what you're financing."
Is there funding for business expansion?,"A business loan can fund an expansion or renovation, new or modernised equipment, refinancing of existing debt, or the acquisition of another business. Repayment is structured around the useful life of what you're financing."
